#      rho         V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)      V(S=1,I=1)      V_Total         FFG          E_total

   0.100000D-01   0.132088D+00  -0.229497D+01  -0.524202D+01   0.720297D-02  -0.739770D+01   0.348172D+01  -0.391599D+01
   0.500000D-01   0.106460D+01  -0.753139D+01  -0.130580D+02  -0.113340D+00  -0.196381D+02   0.101806D+02  -0.945753D+01
   0.750000D-01   0.181070D+01  -0.998147D+01  -0.166483D+02  -0.157872D+00  -0.249770D+02   0.133404D+02  -0.116366D+02
   0.100000D+00   0.262481D+01  -0.122212D+02  -0.201429D+02  -0.170307D+00  -0.299096D+02   0.161607D+02  -0.137489D+02
   0.125000D+00   0.350675D+01  -0.142638D+02  -0.234158D+02  -0.106000D+00  -0.342788D+02   0.187528D+02  -0.155260D+02
   0.150000D+00   0.445083D+01  -0.161330D+02  -0.265209D+02   0.427585D-01  -0.381603D+02   0.211765D+02  -0.169838D+02
   0.175000D+00   0.544183D+01  -0.178309D+02  -0.294712D+02   0.272835D+00  -0.415874D+02   0.234685D+02  -0.181189D+02
   0.200000D+00   0.647627D+01  -0.193997D+02  -0.323817D+02   0.593667D+00  -0.447114D+02   0.256535D+02  -0.190579D+02
   0.250000D+00   0.868221D+01  -0.221790D+02  -0.380822D+02   0.154345D+01  -0.500356D+02   0.297683D+02  -0.202673D+02
   0.300000D+00   0.110272D+02  -0.245304D+02  -0.437447D+02   0.285246D+01  -0.543954D+02   0.336156D+02  -0.207798D+02
   0.350000D+00   0.134517D+02  -0.264352D+02  -0.493905D+02   0.442512D+01  -0.579489D+02   0.372540D+02  -0.206949D+02
   0.400000D+00   0.159110D+02  -0.280110D+02  -0.555050D+02   0.616362D+01  -0.614413D+02   0.407224D+02  -0.207189D+02
