#     rho          V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total          FFG          E_total

   0.100000D-01   0.131015D+00  -0.234748D+01  -0.527113D+01   0.540715D-02  -0.748219D+01   0.348172D+01  -0.400047D+01
   0.500000D-01   0.105230D+01  -0.760695D+01  -0.127437D+02  -0.119145D+00  -0.194175D+02   0.101806D+02  -0.923688D+01
   0.750000D-01   0.179202D+01  -0.996658D+01  -0.159289D+02  -0.155393D+00  -0.242589D+02   0.133404D+02  -0.109185D+02
   0.100000D+00   0.260203D+01  -0.121133D+02  -0.189445D+02  -0.141450D+00  -0.285972D+02   0.161607D+02  -0.124365D+02
   0.125000D+00   0.348272D+01  -0.140311D+02  -0.217432D+02  -0.477267D-01  -0.323394D+02   0.187528D+02  -0.135865D+02
   0.150000D+00   0.442982D+01  -0.157465D+02  -0.243092D+02   0.133874D+00  -0.354920D+02   0.211765D+02  -0.143154D+02
   0.175000D+00   0.542689D+01  -0.172872D+02  -0.267756D+02   0.398796D+00  -0.382371D+02   0.234685D+02  -0.147686D+02
   0.200000D+00   0.647556D+01  -0.186523D+02  -0.290114D+02   0.794261D+00  -0.403939D+02   0.256535D+02  -0.147404D+02
   0.250000D+00   0.873164D+01  -0.209332D+02  -0.331129D+02   0.193985D+01  -0.433747D+02   0.297683D+02  -0.136064D+02
   0.300000D+00   0.111565D+02  -0.226382D+02  -0.367865D+02   0.350171D+01  -0.447665D+02   0.336156D+02  -0.111509D+02
   0.350000D+00   0.136902D+02  -0.237865D+02  -0.402027D+02   0.538284D+01  -0.449162D+02   0.372540D+02  -0.766222D+01
   0.400000D+00   0.162997D+02  -0.244088D+02  -0.433856D+02   0.757658D+01  -0.439181D+02   0.407224D+02  -0.319567D+01
