#      rho           V(S=0,I=0)    V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total          FFG           E_total

   0.100000D-01   0.131007D+00  -0.230446D+01  -0.528226D+01   0.933108D-02  -0.744638D+01   0.348172D+01  -0.396466D+01
   0.500000D-01   0.105229D+01  -0.751704D+01  -0.127504D+02  -0.102603D+00  -0.193177D+02   0.101806D+02  -0.913712D+01
   0.750000D-01   0.179200D+01  -0.987146D+01  -0.159330D+02  -0.130815D+00  -0.241433D+02   0.133404D+02  -0.108030D+02
   0.100000D+00   0.260204D+01  -0.120058D+02  -0.189468D+02  -0.113012D+00  -0.284636D+02   0.161607D+02  -0.123029D+02
   0.125000D+00   0.348274D+01  -0.139144D+02  -0.217442D+02  -0.173598D-01  -0.321932D+02   0.187528D+02  -0.134404D+02
   0.150000D+00   0.442985D+01  -0.156199D+02  -0.243099D+02   0.173158D+00  -0.353268D+02   0.211765D+02  -0.141503D+02
   0.175000D+00   0.542690D+01  -0.171498D+02  -0.267768D+02   0.438507D+00  -0.380612D+02   0.234685D+02  -0.145927D+02
   0.200000D+00   0.647558D+01  -0.184993D+02  -0.290119D+02   0.827947D+00  -0.402077D+02   0.256535D+02  -0.145542D+02
   0.250000D+00   0.873163D+01  -0.207422D+02  -0.331145D+02   0.195920D+01  -0.431659D+02   0.297683D+02  -0.133976D+02
   0.300000D+00   0.111564D+02  -0.224098D+02  -0.367929D+02   0.351693D+01  -0.445294D+02   0.336156D+02  -0.109138D+02
   0.350000D+00   0.136899D+02  -0.235234D+02  -0.402191D+02   0.539366D+01  -0.446591D+02   0.372540D+02  -0.740510D+01
   0.400000D+00   0.162993D+02  -0.241106D+02  -0.434157D+02   0.757577D+01  -0.436513D+02   0.407224D+02  -0.292882D+01
