#    rho            V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG           E_total

   0.100000D-01   0.132814D+00  -0.223323D+01  -0.508753D+01   0.142849D-01  -0.717366D+01   0.348172D+01  -0.369194D+01
   0.500000D-01   0.105674D+01  -0.731275D+01  -0.124931D+02  -0.702644D-01  -0.188194D+02   0.101806D+02  -0.863880D+01
   0.750000D-01   0.178941D+01  -0.963160D+01  -0.155826D+02  -0.742722D-01  -0.234991D+02   0.133404D+02  -0.101587D+02
   0.100000D+00   0.258020D+01  -0.117465D+02  -0.188262D+02  -0.699580D-01  -0.280625D+02   0.161607D+02  -0.119018D+02
   0.125000D+00   0.343077D+01  -0.136333D+02  -0.216199D+02   0.310756D-01  -0.317914D+02   0.187528D+02  -0.130386D+02
   0.150000D+00   0.433214D+01  -0.153251D+02  -0.241874D+02   0.227655D+00  -0.349527D+02   0.211765D+02  -0.137762D+02
   0.175000D+00   0.526748D+01  -0.168365D+02  -0.265749D+02   0.514156D+00  -0.376298D+02   0.234685D+02  -0.141612D+02
   0.200000D+00   0.622907D+01  -0.181842D+02  -0.288343D+02   0.904916D+00  -0.398845D+02   0.256535D+02  -0.142310D+02
   0.250000D+00   0.822469D+01  -0.204513D+02  -0.330921D+02   0.202662D+01  -0.432921D+02   0.297683D+02  -0.135238D+02
   0.300000D+00   0.102480D+02  -0.222028D+02  -0.370985D+02   0.356669D+01  -0.454867D+02   0.336156D+02  -0.118711D+02
   0.350000D+00   0.122002D+02  -0.234627D+02  -0.410117D+02   0.542221D+01  -0.468521D+02   0.372540D+02  -0.959812D+01
   0.400000D+00   0.139940D+02  -0.242746D+02  -0.449783D+02   0.753214D+01  -0.477268D+02   0.407224D+02  -0.700434D+01
