#     rho          V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total        FFG             E_total

   0.100000D-01   0.132874D+00  -0.221358D+01  -0.504723D+01   0.130153D-01  -0.711492D+01   0.348172D+01  -0.363321D+01
   0.500000D-01   0.105774D+01  -0.725908D+01  -0.124306D+02  -0.857111D-01  -0.187177D+02   0.101806D+02  -0.853706D+01
   0.750000D-01   0.179150D+01  -0.956309D+01  -0.155111D+02  -0.101694D+00  -0.233844D+02   0.133404D+02  -0.100440D+02
   0.100000D+00   0.258373D+01  -0.116643D+02  -0.187459D+02  -0.112279D+00  -0.279387D+02   0.161607D+02  -0.117780D+02
   0.125000D+00   0.343586D+01  -0.135382D+02  -0.215354D+02  -0.274083D-01  -0.316652D+02   0.187528D+02  -0.129123D+02
   0.150000D+00   0.433927D+01  -0.152175D+02  -0.241001D+02   0.150838D+00  -0.348275D+02   0.211765D+02  -0.136510D+02
   0.175000D+00   0.527672D+01  -0.167169D+02  -0.264868D+02   0.417820D+00  -0.375091D+02   0.234685D+02  -0.140406D+02
   0.200000D+00   0.624094D+01  -0.180530D+02  -0.287465D+02   0.787575D+00  -0.397710D+02   0.256535D+02  -0.141175D+02
   0.250000D+00   0.824164D+01  -0.202987D+02  -0.330111D+02   0.186272D+01  -0.432054D+02   0.297683D+02  -0.134372D+02
   0.300000D+00   0.102712D+02  -0.220305D+02  -0.370291D+02   0.334991D+01  -0.454385D+02   0.336156D+02  -0.118229D+02
   0.350000D+00   0.122296D+02  -0.232725D+02  -0.409598D+02   0.514577D+01  -0.468568D+02   0.372540D+02  -0.960287D+01
   0.400000D+00   0.140294D+02  -0.240686D+02  -0.449559D+02   0.718652D+01  -0.478086D+02   0.407224D+02  -0.708614D+01
