#     rho           V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG           E_total

   0.100000D-01   0.132893D+00  -0.220772D+01  -0.502626D+01   0.126614D-01  -0.708843D+01   0.348172D+01  -0.360671D+01
   0.500000D-01   0.105800D+01  -0.724476D+01  -0.124087D+02  -0.902812D-01  -0.186857D+02   0.101806D+02  -0.850510D+01
   0.750000D-01   0.179206D+01  -0.954476D+01  -0.154862D+02  -0.109976D+00  -0.233489D+02   0.133404D+02  -0.100086D+02
   0.100000D+00   0.258469D+01  -0.116424D+02  -0.187181D+02  -0.125072D+00  -0.279008D+02   0.161607D+02  -0.117401D+02
   0.125000D+00   0.343727D+01  -0.135129D+02  -0.215062D+02  -0.452924D-01  -0.316271D+02   0.187528D+02  -0.128743D+02
   0.150000D+00   0.434115D+01  -0.151891D+02  -0.240702D+02   0.127384D+00  -0.347907D+02   0.211765D+02  -0.136142D+02
   0.175000D+00   0.527926D+01  -0.166853D+02  -0.264563D+02   0.388425D+00  -0.374739D+02   0.234685D+02  -0.140054D+02
   0.200000D+00   0.624412D+01  -0.180186D+02  -0.287163D+02   0.751660D+00  -0.397391D+02   0.256535D+02  -0.140856D+02
   0.250000D+00   0.824619D+01  -0.202592D+02  -0.329839D+02   0.181212D+01  -0.431847D+02   0.297683D+02  -0.134164D+02
   0.300000D+00   0.102774D+02  -0.219865D+02  -0.370063D+02   0.328272D+01  -0.454327D+02   0.336156D+02  -0.118171D+02
   0.350000D+00   0.122373D+02  -0.232248D+02  -0.409437D+02   0.505961D+01  -0.468715D+02   0.372540D+02  -0.961753D+01
   0.400000D+00   0.140384D+02  -0.240180D+02  -0.449502D+02   0.707842D+01  -0.478514D+02   0.407224D+02  -0.712893D+01
