#      rho          V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG           E_total

   0.100000D-01   0.132897D+00  -0.220627D+01  -0.502029D+01   0.125333D-01  -0.708114D+01   0.348172D+01  -0.359942D+01
   0.500000D-01   0.105807D+01  -0.724072D+01  -0.124001D+02  -0.917931D-01  -0.186745D+02   0.101806D+02  -0.849391D+01
   0.750000D-01   0.179222D+01  -0.953954D+01  -0.154765D+02  -0.112735D+00  -0.233365D+02   0.133404D+02  -0.999615D+01
   0.100000D+00   0.258496D+01  -0.116362D+02  -0.187073D+02  -0.129322D+00  -0.278878D+02   0.161607D+02  -0.117271D+02
   0.125000D+00   0.343767D+01  -0.135058D+02  -0.214948D+02  -0.513166D-01  -0.316143D+02   0.187528D+02  -0.128614D+02
   0.150000D+00   0.434169D+01  -0.151812D+02  -0.240585D+02   0.119449D+00  -0.347786D+02   0.211765D+02  -0.136020D+02
   0.175000D+00   0.527995D+01  -0.166766D+02  -0.264447D+02   0.378435D+00  -0.374630D+02   0.234685D+02  -0.139944D+02
   0.200000D+00   0.624502D+01  -0.180091D+02  -0.287047D+02   0.739463D+00  -0.397294D+02   0.256535D+02  -0.140759D+02
   0.250000D+00   0.824750D+01  -0.202486D+02  -0.329737D+02   0.179483D+01  -0.431800D+02   0.297683D+02  -0.134117D+02
   0.300000D+00   0.102790D+02  -0.219749D+02  -0.369974D+02   0.325973D+01  -0.454336D+02   0.336156D+02  -0.118179D+02
   0.350000D+00   0.122394D+02  -0.232128D+02  -0.409383D+02   0.502983D+01  -0.468819D+02   0.372540D+02  -0.962792D+01
   0.400000D+00   0.140407D+02  -0.240054D+02  -0.449479D+02   0.704125D+01  -0.478714D+02   0.407224D+02  -0.714897D+01
