#      rho         V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)     V_Total           FFG          E_total

   0.100000D-01   0.132897D+00  -0.220574D+01  -0.501665D+01   0.124375D-01  -0.707706D+01   0.348172D+01  -0.359534D+01
   0.500000D-01   0.105811D+01  -0.723874D+01  -0.123929D+02  -0.926644D-01  -0.186662D+02   0.101806D+02  -0.848563D+01
   0.750000D-01   0.179228D+01  -0.953696D+01  -0.154685D+02  -0.114542D+00  -0.233277D+02   0.133404D+02  -0.998732D+01
   0.100000D+00   0.258507D+01  -0.116332D+02  -0.186984D+02  -0.132220D+00  -0.278788D+02   0.161607D+02  -0.117181D+02
   0.125000D+00   0.343785D+01  -0.135024D+02  -0.214855D+02  -0.554188D-01  -0.316055D+02   0.187528D+02  -0.128527D+02
   0.150000D+00   0.434196D+01  -0.151774D+02  -0.240491D+02   0.114170D+00  -0.347704D+02   0.211765D+02  -0.135939D+02
   0.175000D+00   0.528030D+01  -0.166726D+02  -0.264353D+02   0.371647D+00  -0.374560D+02   0.234685D+02  -0.139875D+02
   0.200000D+00   0.624546D+01  -0.180048D+02  -0.286951D+02   0.731227D+00  -0.397232D+02   0.256535D+02  -0.140697D+02
   0.250000D+00   0.824812D+01  -0.202441D+02  -0.329654D+02   0.178298D+01  -0.431784D+02   0.297683D+02  -0.134101D+02
   0.300000D+00   0.102798D+02  -0.219704D+02  -0.369907D+02   0.324375D+01  -0.454375D+02   0.336156D+02  -0.118219D+02
   0.350000D+00   0.122403D+02  -0.232085D+02  -0.409339D+02   0.500936D+01  -0.468928D+02   0.372540D+02  -0.963884D+01
   0.400000D+00   0.140416D+02  -0.240016D+02  -0.449475D+02   0.701497D+01  -0.478926D+02   0.407224D+02  -0.717014D+01
