#       rho          V(S=0,I=0)    V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG          E_total

   0.100000D-01   0.131834D+00  -0.233047D+01  -0.515811D+01   0.553802D-02  -0.735121D+01   0.348172D+01  -0.386949D+01
   0.500000D-01   0.105827D+01  -0.782744D+01  -0.123034D+02  -0.130253D+00  -0.192028D+02   0.101806D+02  -0.902222D+01
   0.750000D-01   0.177700D+01  -0.104975D+02  -0.152812D+02  -0.201705D+00  -0.242034D+02   0.133404D+02  -0.108630D+02
   0.100000D+00   0.253577D+01  -0.130293D+02  -0.180379D+02  -0.267710D+00  -0.287991D+02   0.161607D+02  -0.126384D+02
   0.125000D+00   0.333975D+01  -0.154179D+02  -0.204444D+02  -0.279439D+00  -0.328020D+02   0.187528D+02  -0.140492D+02
   0.150000D+00   0.418467D+01  -0.176936D+02  -0.225801D+02  -0.224887D+00  -0.363139D+02   0.211765D+02  -0.151374D+02
   0.175000D+00   0.505805D+01  -0.198633D+02  -0.244879D+02  -0.106819D+00  -0.394000D+02   0.234685D+02  -0.159315D+02
   0.200000D+00   0.594758D+01  -0.219277D+02  -0.261927D+02   0.681546D-01  -0.421047D+02   0.256535D+02  -0.164512D+02
   0.250000D+00   0.776377D+01  -0.257661D+02  -0.290784D+02   0.596375D+00  -0.464843D+02   0.297683D+02  -0.167160D+02
   0.300000D+00   0.966473D+01  -0.293003D+02  -0.314036D+02   0.141791D+01  -0.496213D+02   0.336156D+02  -0.160056D+02
   0.350000D+00   0.116594D+02  -0.325764D+02  -0.332794D+02   0.255469D+01  -0.516417D+02   0.372540D+02  -0.143878D+02
   0.400000D+00   0.137222D+02  -0.355938D+02  -0.347548D+02   0.398279D+01  -0.526436D+02   0.407224D+02  -0.119212D+02
