#      rho            V(S=0,I=0)    V(S=0,I=1)     V(S=1,I=0)      V(S=1,I=1)    V_Total          FFG          E_total

   0.100000D-01   0.133473D+00  -0.232471D+01  -0.520356D+01   0.794375D-02  -0.738685D+01   0.348172D+01  -0.390513D+01
   0.500000D-01   0.106856D+01  -0.789574D+01  -0.126109D+02  -0.120388D+00  -0.195584D+02   0.101806D+02  -0.937782D+01
   0.750000D-01   0.179407D+01  -0.106406D+02  -0.156833D+02  -0.187201D+00  -0.247170D+02   0.133404D+02  -0.113766D+02
   0.100000D+00   0.255678D+01  -0.132958D+02  -0.188464D+02  -0.281898D+00  -0.298674D+02   0.161607D+02  -0.137067D+02
   0.125000D+00   0.336522D+01  -0.158244D+02  -0.215834D+02  -0.325954D+00  -0.343685D+02   0.187528D+02  -0.156157D+02
   0.150000D+00   0.421400D+01  -0.182701D+02  -0.240960D+02  -0.317701D+00  -0.384698D+02   0.211765D+02  -0.172933D+02
   0.175000D+00   0.509025D+01  -0.206411D+02  -0.264261D+02  -0.260716D+00  -0.422377D+02   0.234685D+02  -0.187692D+02
   0.200000D+00   0.598120D+01  -0.229385D+02  -0.285991D+02  -0.162488D+00  -0.457189D+02   0.256535D+02  -0.200653D+02
   0.250000D+00   0.779527D+01  -0.273413D+02  -0.325596D+02   0.162209D+00  -0.519435D+02   0.297683D+02  -0.221752D+02
   0.300000D+00   0.968762D+01  -0.315795D+02  -0.361659D+02   0.705827D+00  -0.573519D+02   0.336156D+02  -0.237363D+02
   0.350000D+00   0.116664D+02  -0.357135D+02  -0.395293D+02   0.147840D+01  -0.620980D+02   0.372540D+02  -0.248441D+02
   0.400000D+00   0.137044D+02  -0.397428D+02  -0.426959D+02   0.244984D+01  -0.662845D+02   0.407224D+02  -0.255620D+02
