#      rho            V(S=0,I=0)   V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)     V_Total           FFG          E_total

   0.100000D-01   0.132388D+00  -0.238500D+01  -0.525257D+01   0.627160D-02  -0.749891D+01   0.348172D+01  -0.401719D+01
   0.500000D-01   0.105447D+01  -0.811987D+01  -0.127815D+02  -0.132188D+00  -0.199790D+02   0.101806D+02  -0.979843D+01
   0.750000D-01   0.177231D+01  -0.108448D+02  -0.156450D+02  -0.191689D+00  -0.249092D+02   0.133404D+02  -0.115688D+02
   0.100000D+00   0.253029D+01  -0.135055D+02  -0.185330D+02  -0.253657D+00  -0.297618D+02   0.161607D+02  -0.136011D+02
   0.125000D+00   0.333485D+01  -0.160366D+02  -0.211740D+02  -0.273984D+00  -0.341497D+02   0.187528D+02  -0.153969D+02
   0.150000D+00   0.418295D+01  -0.184719D+02  -0.235900D+02  -0.234782D+00  -0.381137D+02   0.211765D+02  -0.169372D+02
   0.175000D+00   0.506232D+01  -0.208213D+02  -0.258236D+02  -0.137557D+00  -0.417201D+02   0.234685D+02  -0.182516D+02
   0.200000D+00   0.596095D+01  -0.230876D+02  -0.278996D+02   0.126643D-01  -0.450136D+02   0.256535D+02  -0.193601D+02
   0.250000D+00   0.780409D+01  -0.274089D+02  -0.317013D+02   0.462995D+00  -0.508431D+02   0.297683D+02  -0.210748D+02
   0.300000D+00   0.974698D+01  -0.315016D+02  -0.350764D+02   0.118548D+01  -0.556456D+02   0.336156D+02  -0.220300D+02
   0.350000D+00   0.117963D+02  -0.354189D+02  -0.381702D+02   0.218065D+01  -0.596121D+02   0.372540D+02  -0.223582D+02
   0.400000D+00   0.139265D+02  -0.391632D+02  -0.410196D+02   0.342879D+01  -0.628275D+02   0.407224D+02  -0.221051D+02
