#        rho         V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)     V_Total           FFG          E_total

   0.100000D-01   0.132381D+00  -0.233907D+01  -0.526207D+01   0.102112D-01  -0.745855D+01   0.348172D+01  -0.397683D+01
   0.500000D-01   0.105448D+01  -0.799888D+01  -0.127848D+02  -0.116097D+00  -0.198453D+02   0.101806D+02  -0.966470D+01
   0.750000D-01   0.177226D+01  -0.107034D+02  -0.156504D+02  -0.167211D+00  -0.247487D+02   0.133404D+02  -0.114083D+02
   0.100000D+00   0.253024D+01  -0.133306D+02  -0.185364D+02  -0.224459D+00  -0.295612D+02   0.161607D+02  -0.134004D+02
   0.125000D+00   0.333480D+01  -0.158279D+02  -0.211767D+02  -0.240169D+00  -0.339100D+02   0.187528D+02  -0.151572D+02
   0.150000D+00   0.418290D+01  -0.182278D+02  -0.235923D+02  -0.195820D+00  -0.378330D+02   0.211765D+02  -0.166565D+02
   0.175000D+00   0.506226D+01  -0.205384D+02  -0.258260D+02  -0.941864D-01  -0.413963D+02   0.234685D+02  -0.179277D+02
   0.200000D+00   0.596086D+01  -0.227611D+02  -0.279023D+02   0.579507D-01  -0.446445D+02   0.256535D+02  -0.189910D+02
   0.250000D+00   0.780387D+01  -0.269825D+02  -0.317063D+02   0.505586D+00  -0.503794D+02   0.297683D+02  -0.206111D+02
   0.300000D+00   0.974659D+01  -0.309622D+02  -0.350837D+02   0.122492D+01  -0.550744D+02   0.336156D+02  -0.214587D+02
   0.350000D+00   0.117956D+02  -0.347577D+02  -0.381809D+02   0.221917D+01  -0.589238D+02   0.372540D+02  -0.216698D+02
   0.400000D+00   0.139254D+02  -0.383699D+02  -0.410342D+02   0.346456D+01  -0.620142D+02   0.407224D+02  -0.212918D+02
