#       rho        V(S=0,I=0)     V(S=0,I=1)      V(S=1,I=0)     V(S=1,I=1)     V_Total          FFG          E_total

   0.100000D-01   0.134232D+00  -0.226213D+01  -0.505329D+01   0.150944D-01  -0.716609D+01   0.348172D+01  -0.368437D+01
   0.500000D-01   0.106332D+01  -0.768922D+01  -0.121720D+02  -0.741147D-01  -0.188720D+02   0.101806D+02  -0.869140D+01
   0.750000D-01   0.177868D+01  -0.103391D+02  -0.151432D+02  -0.120753D+00  -0.238244D+02   0.133404D+02  -0.104841D+02
   0.100000D+00   0.253208D+01  -0.128481D+02  -0.177767D+02  -0.157832D+00  -0.282506D+02   0.161607D+02  -0.120899D+02
   0.125000D+00   0.332875D+01  -0.152307D+02  -0.201947D+02  -0.155866D+00  -0.322525D+02   0.187528D+02  -0.134996D+02
   0.150000D+00   0.416323D+01  -0.175270D+02  -0.224725D+02  -0.108332D+00  -0.359446D+02   0.211765D+02  -0.147681D+02
   0.175000D+00   0.502592D+01  -0.197132D+02  -0.244160D+02   0.155076D-01  -0.390877D+02   0.234685D+02  -0.156192D+02
   0.200000D+00   0.590248D+01  -0.218029D+02  -0.261723D+02   0.194488D+00  -0.418782D+02   0.256535D+02  -0.162247D+02
   0.250000D+00   0.768186D+01  -0.257175D+02  -0.292147D+02   0.725517D+00  -0.465248D+02   0.297683D+02  -0.167565D+02
   0.300000D+00   0.953771D+01  -0.293621D+02  -0.317756D+02   0.154756D+01  -0.500524D+02   0.336156D+02  -0.164368D+02
   0.350000D+00   0.114854D+02  -0.327823D+02  -0.339672D+02   0.267926D+01  -0.525847D+02   0.372540D+02  -0.153308D+02
   0.400000D+00   0.134949D+02  -0.359763D+02  -0.358368D+02   0.409733D+01  -0.542208D+02   0.407224D+02  -0.134984D+02
