#        rho       V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)       V_Total          FFG         E_total

   0.100000D-01   0.134272D+00  -0.224964D+01  -0.502261D+01   0.144221D-01  -0.712355D+01   0.348172D+01  -0.364184D+01
   0.500000D-01   0.106392D+01  -0.765711D+01  -0.121361D+02  -0.824330D-01  -0.188117D+02   0.101806D+02  -0.863108D+01
   0.750000D-01   0.177990D+01  -0.102978D+02  -0.151001D+02  -0.135508D+00  -0.237535D+02   0.133404D+02  -0.104131D+02
   0.100000D+00   0.253418D+01  -0.127987D+02  -0.177306D+02  -0.180196D+00  -0.281753D+02   0.161607D+02  -0.120146D+02
   0.125000D+00   0.333165D+01  -0.151734D+02  -0.201442D+02  -0.186465D+00  -0.321725D+02   0.187528D+02  -0.134196D+02
   0.150000D+00   0.416714D+01  -0.174621D+02  -0.224169D+02  -0.147692D+00  -0.358596D+02   0.211765D+02  -0.146830D+02
   0.175000D+00   0.503097D+01  -0.196409D+02  -0.243568D+02  -0.329908D-01  -0.389997D+02   0.234685D+02  -0.155312D+02
   0.200000D+00   0.590887D+01  -0.217235D+02  -0.261100D+02   0.136505D+00  -0.417881D+02   0.256535D+02  -0.161346D+02
   0.250000D+00   0.769122D+01  -0.256243D+02  -0.291463D+02   0.647720D+00  -0.464317D+02   0.297683D+02  -0.166634D+02
   0.300000D+00   0.955096D+01  -0.292563D+02  -0.317025D+02   0.144927D+01  -0.499586D+02   0.336156D+02  -0.163430D+02
   0.350000D+00   0.115024D+02  -0.326645D+02  -0.338899D+02   0.256009D+01  -0.524919D+02   0.372540D+02  -0.152379D+02
   0.400000D+00   0.135156D+02  -0.358472D+02  -0.357553D+02   0.395768D+01  -0.541292D+02   0.407224D+02  -0.134068D+02
