#       rho         V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total          FFG           E_total

   0.100000D-01   0.134297D+00  -0.224112D+01  -0.500293D+01   0.138792D-01  -0.709587D+01   0.348172D+01  -0.361415D+01
   0.500000D-01   0.106434D+01  -0.763367D+01  -0.121073D+02  -0.888490D-01  -0.187655D+02   0.101806D+02  -0.858492D+01
   0.750000D-01   0.178081D+01  -0.102675D+02  -0.150653D+02  -0.146892D+00  -0.236989D+02   0.133404D+02  -0.103585D+02
   0.100000D+00   0.253576D+01  -0.127626D+02  -0.176937D+02  -0.197447D+00  -0.281179D+02   0.161607D+02  -0.119572D+02
   0.125000D+00   0.333375D+01  -0.151317D+02  -0.201038D+02  -0.210049D+00  -0.321118D+02   0.187528D+02  -0.133590D+02
   0.150000D+00   0.416998D+01  -0.174148D+02  -0.223727D+02  -0.178023D+00  -0.357955D+02   0.211765D+02  -0.146190D+02
   0.175000D+00   0.503465D+01  -0.195883D+02  -0.243099D+02  -0.703252D-01  -0.389338D+02   0.234685D+02  -0.154653D+02
   0.200000D+00   0.591346D+01  -0.216657D+02  -0.260609D+02   0.918852D-01  -0.417213D+02   0.256535D+02  -0.160677D+02
   0.250000D+00   0.769810D+01  -0.255568D+02  -0.290931D+02   0.587988D+00  -0.463639D+02   0.297683D+02  -0.165956D+02
   0.300000D+00   0.956077D+01  -0.291797D+02  -0.316460D+02   0.137393D+01  -0.498910D+02   0.336156D+02  -0.162754D+02
   0.350000D+00   0.115148D+02  -0.325795D+02  -0.338307D+02   0.246908D+01  -0.524263D+02   0.372540D+02  -0.151723D+02
   0.400000D+00   0.135302D+02  -0.357544D+02  -0.356940D+02   0.385079D+01  -0.540674D+02   0.407224D+02  -0.133450D+02
