#       rho         V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG           E_total

   0.100000D-01   0.134308D+00  -0.223689D+01  -0.499774D+01   0.134481D-01  -0.708687D+01   0.348172D+01  -0.360515D+01
   0.500000D-01   0.106461D+01  -0.761884D+01  -0.120851D+02  -0.932799D-01  -0.187326D+02   0.101806D+02  -0.855203D+01
   0.750000D-01   0.178138D+01  -0.102484D+02  -0.150388D+02  -0.154848D+00  -0.236607D+02   0.133404D+02  -0.103203D+02
   0.100000D+00   0.253670D+01  -0.127397D+02  -0.176656D+02  -0.209484D+00  -0.280781D+02   0.161607D+02  -0.119174D+02
   0.125000D+00   0.333507D+01  -0.151053D+02  -0.200734D+02  -0.226482D+00  -0.320701D+02   0.187528D+02  -0.133173D+02
   0.150000D+00   0.417178D+01  -0.173850D+02  -0.223395D+02  -0.199145D+00  -0.357519D+02   0.211765D+02  -0.145754D+02
   0.175000D+00   0.503697D+01  -0.195552D+02  -0.242750D+02  -0.962914D-01  -0.388896D+02   0.234685D+02  -0.154211D+02
   0.200000D+00   0.591636D+01  -0.216295D+02  -0.260246D+02   0.609302D-01  -0.416768D+02   0.256535D+02  -0.160233D+02
   0.250000D+00   0.770243D+01  -0.255147D+02  -0.290546D+02   0.546774D+00  -0.463202D+02   0.297683D+02  -0.165519D+02
   0.300000D+00   0.956713D+01  -0.291322D+02  -0.316060D+02   0.132214D+01  -0.498490D+02   0.336156D+02  -0.162334D+02
   0.350000D+00   0.115223D+02  -0.325271D+02  -0.337894D+02   0.240674D+01  -0.523875D+02   0.372540D+02  -0.151335D+02
   0.400000D+00   0.135399D+02  -0.356975D+02  -0.356521D+02   0.377806D+01  -0.540317D+02   0.407224D+02  -0.133092D+02
