#       rho        V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total           FFG          E_total

   0.100000D-01   0.134311D+00  -0.223553D+01  -0.499280D+01   0.133140D-01  -0.708071D+01   0.348172D+01  -0.359899D+01
   0.500000D-01   0.106469D+01  -0.761465D+01  -0.120764D+02  -0.947660D-01  -0.187212D+02   0.101806D+02  -0.854055D+01
   0.750000D-01   0.178155D+01  -0.102429D+02  -0.150286D+02  -0.157515D+00  -0.236475D+02   0.133404D+02  -0.103071D+02
   0.100000D+00   0.253697D+01  -0.127333D+02  -0.176549D+02  -0.213517D+00  -0.280647D+02   0.161607D+02  -0.119040D+02
   0.125000D+00   0.333544D+01  -0.150978D+02  -0.200618D+02  -0.231969D+00  -0.320562D+02   0.187528D+02  -0.133034D+02
   0.150000D+00   0.417228D+01  -0.173766D+02  -0.223271D+02  -0.206209D+00  -0.357377D+02   0.211765D+02  -0.145611D+02
   0.175000D+00   0.503763D+01  -0.195460D+02  -0.242621D+02  -0.104937D+00  -0.388754D+02   0.234685D+02  -0.154069D+02
   0.200000D+00   0.591717D+01  -0.216194D+02  -0.260113D+02   0.506486D-01  -0.416629D+02   0.256535D+02  -0.160094D+02
   0.250000D+00   0.770360D+01  -0.255032D+02  -0.290408D+02   0.533218D+00  -0.463071D+02   0.297683D+02  -0.165388D+02
   0.300000D+00   0.956879D+01  -0.291193D+02  -0.315919D+02   0.130526D+01  -0.498372D+02   0.336156D+02  -0.162216D+02
   0.350000D+00   0.115243D+02  -0.325131D+02  -0.337751D+02   0.238659D+01  -0.523773D+02   0.372540D+02  -0.151233D+02
   0.400000D+00   0.135427D+02  -0.356826D+02  -0.356384D+02   0.375454D+01  -0.540237D+02   0.407224D+02  -0.133013D+02
