#      rho         V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)       V_Total         FFG          E_total

   0.100000D-01   0.134313D+00  -0.223472D+01  -0.498670D+01   0.132334D-01  -0.707387D+01   0.348172D+01  -0.359215D+01
   0.500000D-01   0.106472D+01  -0.761261D+01  -0.120694D+02  -0.957628D-01  -0.187130D+02   0.101806D+02  -0.853241D+01
   0.750000D-01   0.178163D+01  -0.102402D+02  -0.150203D+02  -0.159301D+00  -0.236382D+02   0.133404D+02  -0.102978D+02
   0.100000D+00   0.253711D+01  -0.127301D+02  -0.176462D+02  -0.216206D+00  -0.280554D+02   0.161607D+02  -0.118947D+02
   0.125000D+00   0.333562D+01  -0.150942D+02  -0.200528D+02  -0.235638D+00  -0.320470D+02   0.187528D+02  -0.132942D+02
   0.150000D+00   0.417252D+01  -0.173726D+02  -0.223173D+02  -0.210906D+00  -0.357284D+02   0.211765D+02  -0.145518D+02
   0.175000D+00   0.503794D+01  -0.195416D+02  -0.242521D+02  -0.110660D+00  -0.388664D+02   0.234685D+02  -0.153979D+02
   0.200000D+00   0.591756D+01  -0.216147D+02  -0.260012D+02   0.438753D-01  -0.416545D+02   0.256535D+02  -0.160010D+02
   0.250000D+00   0.770417D+01  -0.254979D+02  -0.290304D+02   0.524399D+00  -0.462998D+02   0.297683D+02  -0.165315D+02
   0.300000D+00   0.956957D+01  -0.291137D+02  -0.315816D+02   0.129437D+01  -0.498313D+02   0.336156D+02  -0.162157D+02
   0.350000D+00   0.115253D+02  -0.325072D+02  -0.337655D+02   0.237375D+01  -0.523737D+02   0.372540D+02  -0.151197D+02
   0.400000D+00   0.135439D+02  -0.356765D+02  -0.356292D+02   0.373987D+01  -0.540218D+02   0.407224D+02  -0.132994D+02
