#      rho         V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)      V_Total           FFG          E_total

   0.100000D-01   0.948226D-01  -0.231299D+01  -0.545598D+01   0.301517D-01  -0.764400D+01   0.348172D+01  -0.416228D+01
   0.500000D-01   0.759443D+00  -0.787285D+01  -0.129725D+02   0.530874D-01  -0.200329D+02   0.101806D+02  -0.985224D+01
   0.750000D-01   0.130382D+01  -0.105778D+02  -0.160370D+02   0.803897D-01  -0.252307D+02   0.133404D+02  -0.118903D+02
   0.100000D+00   0.190472D+01  -0.131729D+02  -0.190469D+02   0.808512D-01  -0.302342D+02   0.161607D+02  -0.140735D+02
   0.125000D+00   0.256778D+01  -0.156346D+02  -0.217267D+02   0.108543D+00  -0.346849D+02   0.187528D+02  -0.159321D+02
   0.150000D+00   0.328683D+01  -0.180032D+02  -0.242312D+02   0.163951D+00  -0.387836D+02   0.211765D+02  -0.176071D+02
   0.175000D+00   0.405120D+01  -0.202709D+02  -0.264527D+02   0.264643D+00  -0.424078D+02   0.234685D+02  -0.189393D+02
   0.200000D+00   0.484563D+01  -0.224459D+02  -0.284941D+02   0.395337D+00  -0.456991D+02   0.256535D+02  -0.200456D+02
   0.250000D+00   0.650680D+01  -0.265470D+02  -0.321301D+02   0.758647D+00  -0.514117D+02   0.297683D+02  -0.216434D+02
   0.300000D+00   0.828861D+01  -0.304060D+02  -0.353145D+02   0.130841D+01  -0.561234D+02   0.336156D+02  -0.225078D+02
   0.350000D+00   0.101907D+02  -0.340776D+02  -0.381622D+02   0.206304D+01  -0.599861D+02   0.372540D+02  -0.227321D+02
   0.400000D+00   0.121821D+02  -0.375663D+02  -0.407228D+02   0.300121D+01  -0.631058D+02   0.407224D+02  -0.223834D+02
