Set    rhob         EB            K             Q             Z             J               L           Ksym             Qsym        Zsym         M            Mn            Mp
PKA1  0.1600  -0.158289E+02  0.229982E+03  0.949846E+03  0.493506E+04  0.360165E+02  0.103504E+03  0.213170E+03  0.291522E+03 -0.169162E+05  0.683404E+00  0.677965E+00  0.697251E+00 
PKO1  0.1520  -0.159963E+02  0.250281E+03  0.262152E+03  0.485711E+04  0.343729E+02  0.977137E+02  0.105589E+03  0.290479E+03 -0.599253E+04  0.746249E+00  0.730614E+00  0.758369E+00 
PKO2  0.1510  -0.160269E+02  0.249530E+03 -0.103033E+02  0.670324E+04  0.324881E+02  0.759162E+02  0.774160E+02  0.820669E+03 -0.799252E+04  0.763916E+00  0.755137E+00  0.771135E+00
PKO3  0.1530  -0.160407E+02  0.262444E+03  0.354992E+03  0.458087E+04  0.329860E+02  0.829897E+02  0.116471E+03  0.690471E+03 -0.892071E+04  0.742033E+00  0.735641E+00  0.761958E+00
ME2   0.1520  -0.161419E+02  0.251148E+03  0.479220E+03  0.444783E+04  0.323103E+02  0.512665E+02 -0.872259E+02  0.776762E+03 -0.704783E+04  0.651860E+00  0.641882E+00  0.699282E+00 
MEd   0.1520  -0.161205E+02  0.219077E+03 -0.748004E+03  0.395048E+04  0.323533E+02  0.528474E+02 -0.118078E+03  0.846329E+03 -0.354543E+04  0.685265E+00  0.623315E+00  0.792158E+00
ME1   0.1520  -0.162024E+02  0.244905E+03  0.316996E+03  0.486710E+04  0.330731E+02  0.554668E+02 -0.101084E+03  0.705465E+03 -0.571672E+04  0.657451E+00  0.644698E+00  0.705985E+00
PKDD  0.1500  -0.162692E+02  0.263727E+03 -0.115839E+03  0.422671E+04  0.368832E+02  0.904144E+02 -0.810003E+02  0.229236E+02 -0.141100E+04  0.649751E+00  0.621145E+00  0.698256E+00
TW99  0.1530  -0.162472E+02  0.240253E+03 -0.539755E+03  0.374923E+04  0.327658E+02  0.553105E+02 -0.124698E+03  0.538521E+03 -0.330742E+04  0.637071E+00  0.626849E+00  0.683918E+00
NL3   0.1480  -0.162401E+02  0.270720E+03  0.198023E+03  0.930171E+04  0.373456E+02  0.118325E+03  0.100533E+03  0.182338E+03 -0.396064E+04  0.672496E+00  0.631273E+00  0.713719E+00
NL3s  0.1500  -0.163077E+02  0.258560E+03  0.124186E+03  0.999729E+04  0.387053E+02  0.122723E+03  0.105727E+03  0.223581E+03 -0.391966E+04  0.671319E+00  0.627635E+00  0.715003E+00
NLSH  0.1460  -0.163458E+02  0.355430E+03  0.602078E+03  0.506081E+04  0.361200E+02  0.113658E+03  0.797952E+02 -0.234654E+02 -0.426437E+04  0.673460E+00  0.634432E+00  0.712489E+00        
PK1   0.1480  -0.162678E+02  0.281956E+03 -0.294401E+02  0.400793E+04  0.375902E+02  0.115702E+03  0.551903E+02 -0.862338E+02 -0.286582E+04  0.681722E+00  0.639463E+00  0.723980E+00
PK1r  0.1480  -0.162740E+02  0.282927E+03 -0.208194E+02  0.403181E+04  0.377790E+02  0.116330E+03  0.557623E+02 -0.860581E+02 -0.275948E+04  0.681402E+00  0.640513E+00  0.722290E+00
TM1   0.1450  -0.162630E+02  0.280457E+03 -0.284933E+03  0.200378E+04  0.368365E+02  0.110611E+03  0.335543E+02 -0.654839E+02 -0.153572E+04  0.707793E+00  0.665237E+00  0.750349E+00              
