#    rho [fm-3]      T [MeV]       E_TOT/A [MeV]   E_KIN/A [MeV]   E_POT/A [MeV]
  0.30000000E-01  0.00000000E+00 -0.63894153E+01  0.12334033E+02 -0.18723448E+02  0.21364439E+00  0.31957126E+00
  0.32000000E-01  0.00000000E+00 -0.65486758E+01  0.12636287E+02 -0.19184963E+02  0.23953226E+00  0.55058904E+00
  0.40000000E-01  0.00000000E+00 -0.74992084E+01  0.13747550E+02 -0.21246759E+02  0.86093955E-01  0.45037576E+00
  0.60000000E-01  0.00000000E+00 -0.97569757E+01  0.16062580E+02 -0.25819555E+02  0.35760003E-01  0.49802524E+00
  0.64000000E-01  0.00000000E+00 -0.10241275E+02  0.16548300E+02 -0.26789575E+02  0.16952119E+00  0.51299416E+00
  0.80000000E-01  0.00000000E+00 -0.11677112E+02  0.18277687E+02 -0.29954800E+02  0.47661659E+00  0.95259017E+00
  0.96000000E-01  0.00000000E+00 -0.12619164E+02  0.20130160E+02 -0.32749324E+02  0.20311108E+00  0.22460433E+00
  0.10000000E+00  0.00000000E+00 -0.12990146E+02  0.20500599E+02 -0.33490745E+02  0.16958006E-01  0.43596073E+00
  0.12000000E+00  0.00000000E+00 -0.14115592E+02  0.22581546E+02 -0.36697138E+02  0.97231288E-01  0.28350964E+00
  0.12800000E+00  0.00000000E+00 -0.14616082E+02  0.23428053E+02 -0.38044135E+02  0.83735932E-01  0.35709105E+00
  0.14000000E+00  0.00000000E+00 -0.15261233E+02  0.24736887E+02 -0.39998120E+02  0.94053543E-01  0.79111467E-01
  0.16000000E+00  0.00000000E+00 -0.15463196E+02  0.26601463E+02 -0.42064659E+02  0.41579297E-02  0.34295856E+00
  0.18000000E+00  0.00000000E+00 -0.15815713E+02  0.28605993E+02 -0.44421706E+02  0.14610417E+00  0.13399562E+00
  0.20000000E+00  0.00000000E+00 -0.15778297E+02  0.30192407E+02 -0.45970705E+02  0.96986608E-01  0.28316980E+00
