# DeltaNNLO500
# PNM, N=66, PBC
    # Rho               Ehf           MBPT(2)               CCD            CCD(T)            ADC(3)
      0.04         6.4444000         5.1676000         5.4482400         5.3676800         5.4779000
      0.05         7.1950000         5.5867000         6.0064000         5.9091200         6.0466000
      0.06         7.9364000         5.9741000         6.5274900         6.4097900         6.5623000
      0.07         8.6987000         6.3699000         7.0450900         6.9015900         7.0686000
      0.08         9.5015000         6.7996000         7.5837500         7.4083800         7.5964000
      0.09        10.3580000         7.2820000         8.1626500         7.9496100         8.1616000
      0.10        11.2780000         7.8313000         8.7971900         8.5415800         8.7770000
      0.11        12.2680000         8.4586000         9.4997700         9.1979100         9.4637000
      0.12        13.3330000         9.1728000        10.2801900         9.9297500        10.1910000
      0.13        14.4750000         9.9805000        11.1460000        10.7459700        11.0270000
      0.14        15.6960000        10.8860000        12.1028200        11.6532900        11.9500000
      0.15        16.9980000        11.8940000        13.1545700        12.6565700        12.9710000
      0.16        18.3810000        13.0050000        14.3036700        13.7589600        14.0890000
      0.17        19.8430000        14.2190000        15.5513000        14.9621400        15.3050000
      0.18        21.3850000        15.5380000        16.8975800        16.2665700        16.6210000
      0.19        23.0050000        16.9580000        18.3417300        17.6716500        18.0370000
      0.20        24.7020000        18.4800000        19.8822400        19.1759200        19.5500000
      0.21        26.4740000        20.0990000        21.5170500        20.7772600        21.1600000
      0.22        28.3180000        21.8140000        23.2435800        22.4729800        22.8650000
      0.23        30.2320000        23.6210000        25.0589300        24.2599700        24.6710000
      0.24        32.2150000        25.5160000        26.9598500        26.1347700        26.5400000
      0.25        34.2630000        27.4970000        28.9429100        28.0936800        28.4890000
      0.26        36.3730000        29.5590000        31.0044600        30.1328000        30.5450000
      0.27        38.5450000        31.6980000        33.1407600        32.2481100        32.6790000
      0.28        40.7730000        33.9110000        35.3479700        34.4355300        34.8880000
