# DeltaNNLOgo394
# PNM, N=66, PBC
    # Rho               Ehf           MBPT(2)               CCD            CCD(T)            ADC(3)
      0.04         6.2822000         5.4013000         5.5640000         5.5123100         5.5621000
      0.05         6.9662000         6.0143000         6.2089000         6.1556700         6.2059000
      0.06         7.6323000         6.6171000         6.8335200         6.7784100         6.8295000
      0.07         8.3103000         7.2408000         7.4702700         7.4126700         7.4635000
      0.08         9.0190000         7.9064000         8.1414700         8.0810600         8.1351000
      0.09         9.7705000         8.6273000         8.8621300         8.7990600         8.8576000
      0.10        10.5720000         9.4120000         9.6421000         9.5769700         9.6329000
      0.11        11.4290000        10.2650000        10.4873200        10.4210200        10.4760000
      0.12        12.3410000        11.1900000        11.4003600        11.3338800        11.3810000
      0.13        13.3100000        12.1830000        12.3809900        12.3152900        12.3680000
      0.14        14.3340000        13.2430000        13.4268100        13.3627300        13.4140000
      0.15        15.4110000        14.3660000        14.5339300        14.4721300        14.5090000
      0.16        16.5370000        15.5440000        15.6975500        15.6385500        15.6850000
      0.17        17.7100000        16.7740000        16.9124100        16.8565700        16.8930000
      0.18        18.9250000        18.0480000        18.1730300        18.1205800        18.1560000
      0.19        20.1790000        19.3620000        19.4739000        19.4249300        19.4570000
      0.20        21.4670000        20.7090000        20.8095900        20.7640900        20.7960000
      0.21        22.7860000        22.0840000        22.1749000        22.1327300        22.1640000
      0.22        24.1330000        23.4830000        23.5649400        23.5259000        23.5570000
      0.23        25.5030000        24.9010000        24.9752800        24.9391400        24.9700000
      0.24        26.8930000        26.3350000        26.4019800        26.3684900        26.4000000
      0.25        28.3000000        27.7800000        27.8416300        27.8105300        27.8420000
      0.26        29.7210000        29.2350000        29.2913000        29.2623400        29.2940000
      0.27        31.1540000        30.6970000        30.7484500        30.7214300        30.7530000
      0.28        32.5950000        32.1630000        32.2109300        32.1856500        32.2180000
