# DeltaGo450
#PNM_N66
     # Rho               Ehf           MBPT(2)           MBPT(3)               CCD            CCD(T)            ADC(3)          ADC(3)-D
      0.04         6.2968000         5.1711000         5.4801860         5.4083500         5.3382400         5.4223000         5.3382400
      0.05         7.0019000         5.6704000         6.0696810         5.9856400         5.9057200         5.9972000         5.9057200
      0.06         7.6944000         6.1564000         6.6260040         6.5375500         6.4460900         6.5398000         6.4460900
      0.07         8.4041000         6.6616000         7.1835210         7.0966500         6.9911700         7.0976000         6.9911700
      0.08         9.1499000         7.2088000         7.7671340         7.6866500         7.5647700         7.6710000         7.5647700
      0.09         9.9443000         7.8147000         8.3957660         8.3254100         8.1853800         8.2997000         8.1853800
      0.10        10.7960000         8.4913000         9.0837170         9.0262800         8.8672200         8.9967000         8.8672200
      0.11        11.7090000         9.2471000         9.8417700         9.7989300         9.6208700         9.7469000         9.6208700
      0.12        12.6890000        10.0870000        10.6769690        10.6499300        10.4536900        10.5870000        10.4536900
      0.13        13.7360000        11.0150000        11.5952420        11.5832500        11.3702400        11.5100000        11.3702400
      0.14        14.8510000        12.0300000        12.5971120        12.6007500        12.3728100        12.4870000        12.3728100
      0.15        16.0330000        13.1340000        13.6858730        13.7026100        13.4617900        13.5900000        13.4617900
      0.16        17.2820000        14.3230000        14.8585020        14.8877000        14.6361200        14.7620000        14.6361200
      0.17        18.5953860        15.5960010        16.1147180        16.1538700        15.8936200        16.0185450        15.8936200
      0.18        19.9714400        16.9489460        17.4509920        17.4981900        17.2312300        17.3595270        17.2312300
      0.19        21.4075830        18.3782190        18.8640820        18.9171500        18.6452300        18.7766940        18.6452300
      0.20        22.9011000        19.8796070        20.3500580        20.4068100        20.1314800        20.2630370        20.1314800
      0.21        24.4490920        21.4486110        21.9046190        21.9629100        21.6855000        21.8185670        21.6855000
      0.22        26.0485450        23.0805600        23.5232190        23.5810400        23.3026600        23.4405660        23.3026600
      0.23        27.6963700        24.7707090        25.2011860        25.2566900        24.9782600        25.1224020        24.9782600
      0.24        29.3894460        26.5143180        26.9338010        26.9853400        26.7076100        26.8540660        26.7076100
      0.25        31.1246540        28.3067240        28.7163800        28.7625300        28.4860900        28.6379740        28.4860900
      0.26        32.8989030        30.1433960        30.5443200        30.5839100        30.3092200        30.4698650        30.3092200
      0.27        34.7091550        32.0199740        32.4131700        32.4452800        32.1727000        32.3427680        32.1727000
      0.28        36.5524390        33.9322950        34.3186420        34.3426000        34.0724000        34.2380970        34.0724000
