# DeltaNNLO450
# SNM, A=132, PBC 
 # Rho               Ehf           MBPT(2)           MBPT(3)               CCD            CCD(T)            ADC(3)          ADC(3)-D
      0.04        -2.3939000        -6.9421000        -7.4236280        -6.6956300        -7.6242500        -7.1571000        -7.6242500
      0.05        -3.2676000        -8.5498000        -8.8063160        -7.9219400        -8.8036100        -8.5153000        -8.8036100
      0.06        -4.0732000        -9.9745000       -10.0388940        -9.0376400        -9.8896700        -9.7300000        -9.8896700
      0.07        -4.7964000       -11.2300000       -11.1614814       -10.0619300       -10.9068500       -10.8230000       -10.9068500
      0.08        -5.4277000       -12.3300000       -12.1941340       -11.0027000       -11.8658700       -11.8240000       -11.8658700
      0.09        -5.9605000       -13.2870000       -13.1450380       -11.8608100       -12.7676200       -12.7390000       -12.7676200
      0.10        -6.3903000       -14.1100000       -14.0140607       -12.6331400       -13.6071300       -13.5700000       -13.6071300
      0.11        -6.7138000       -14.8070000       -14.7985864       -13.3146500       -14.3766500       -14.3080000       -14.3766500
      0.12        -6.9288000       -15.3820000       -15.4921290       -13.8997100       -15.0676200       -14.9650000       -15.0676200
      0.13        -7.0339000       -15.8390000       -16.0890950       -14.3829000       -15.6717900       -15.5280000       -15.6717900
      0.14        -7.0282000       -16.1780000       -16.5810780       -14.7594300       -16.1819000       -15.9950000       -16.1819000
      0.15        -6.9113000       -16.4010000       -16.9628820       -15.0253300       -16.5918900       -16.3590000       -16.5918900
      0.16        -6.6832000       -16.5090000       -17.2295030       -15.1774900       -16.8970100       -16.6210000       -16.8970100
      0.17        -6.3444000       -16.5020000       -17.3760260       -15.2136700       -17.0937600       -16.7700000       -17.0937600
      0.18        -5.8956000       -16.3810000       -17.3994900       -15.1324300       -17.1798200       -16.8160000       -17.1798200
      0.19        -5.3376000       -16.1470000       -17.2977800       -14.9330200       -17.1539500       -16.7660000       -17.1539500
      0.20        -4.6715000       -15.7990000       -17.0675100       -14.6153800       -17.0158600       -16.5850000       -17.0158600
      0.21        -3.8989000       -15.3400000       -16.7099400       -14.1800200       -16.7661500       -16.3050000       -16.7661500
      0.22        -3.0211000       -14.7700000       -16.2237800       -13.6279200       -16.4061800       -15.8850000       -16.4061800
      0.23        -2.0398000       -14.0910000       -15.6102000       -12.9605500       -15.9380200       -15.3650000       -15.9380200
      0.24        -0.9567700       -13.3050000       -14.8707000       -12.1797600       -15.3643900       -14.8290000       -15.3643900
      0.25         0.2259900       -12.4120000       -14.0050600       -11.2877200       -14.6885600       -14.1538360       -14.6885600
      0.26         1.5065000       -11.4160000       -13.0172400       -10.2869000       -13.9143800       -13.2983980       -13.9143800
      0.27         2.8827000       -10.3190000       -11.9093900        -9.1800400       -13.0461800       -12.3175000       -13.0461800
      0.28         4.3523000        -9.1234000       -10.6841500        -7.9700900       -12.0888300       -11.2370000       -12.0888300
