# DeltaGo450
# SNM, A=132, PBC
     # Rho               Ehf           MBPT(2)           MBPT(3)               CCD            CCD(T)            ADC(3)          ADC(3)-D
      0.04        -3.3650000        -7.6605000        -8.1076920        -7.3667500        -8.2932200        -7.8306000        -8.2932200
      0.05        -4.4396000        -9.2605000        -9.4502210        -8.6671100        -9.5207500        -9.1820000        -9.5207500
      0.06        -5.4349000       -10.6800066       -10.6666086        -9.8587300       -10.6562900       -10.4160000       -10.6562900
      0.07        -6.3377000       -11.9394925       -11.7897535       -10.9568800       -11.7193700       -11.5610000       -11.7193700
      0.08        -7.1394000       -13.0585806       -12.8354286       -11.9673100       -12.7179100       -12.6000000       -12.7179100
      0.09        -7.8345000       -14.0497196       -13.8061296       -12.8899500       -13.6514700       -13.5550000       -13.6514700
      0.10        -8.4190000       -14.9213536       -14.6988646       -13.7214300       -14.5145800       -14.4190000       -14.5145800
      0.11        -8.8903000       -15.6763448       -15.5055988       -14.4568500       -15.2993400       -15.1920000       -15.2993400
      0.12        -9.2466000       -16.3139104       -16.2158973       -15.0908600       -15.9972700       -15.8680000       -15.9972700
      0.13        -9.4871000       -16.8342471       -16.8217529       -15.6183800       -16.6003100       -16.4380000       -16.6003100
      0.14        -9.6111000       -17.2366580       -17.3156688       -16.0349500       -17.1014000       -16.9020000       -17.1014000
      0.15        -9.6187000       -17.5201923       -17.6911513       -16.3369200       -17.4946700       -17.2620000       -17.4946700
      0.16        -9.5102000       -17.6870798       -17.9459918       -16.5215000       -17.7755300       -17.5050000       -17.7755300
      0.17        -9.2863000       -17.7353288       -18.0747248       -16.5866700       -17.9405700       -17.6390000       -17.9405700
      0.18        -8.9479000       -17.6658955       -18.0756315       -16.5312000       -17.9875000       -17.6440000       -17.9875000
      0.19        -8.4960000       -17.4791537       -17.9470607       -16.3545200       -17.9150100       -17.5380000       -17.9150100
      0.20        -7.9322000       -17.1763398       -17.6888378       -16.0566400       -17.7226500       -17.3070000       -17.7226500
      0.21        -7.2577000       -16.7578688       -17.3003948       -15.6381400       -17.4107400       -16.9680000       -17.4107400
      0.22        -6.4745000       -16.2239458       -16.7812998       -15.1000200       -16.9802700       -16.4920000       -16.9802700
      0.23        -5.5841000       -15.5774542       -16.1341262       -14.4437300       -16.4327900       -15.8820000       -16.4327900
      0.24        -4.5886000       -14.8189855       -15.3593715       -13.6710300       -15.7703800       -15.1730000       -15.7703800
      0.25        -3.4900000       -13.9515398       -14.4601228       -12.7840000       -14.9955300       -14.3500000       -14.9955300
      0.26        -2.2904000       -12.9753528       -13.4368308       -11.7850000       -14.1111200       -13.4410000       -14.1111200
      0.27        -0.9919200       -11.8934533       -12.2928273       -10.6765600       -13.1203700       -12.3660000       -13.1203700
      0.28         0.4030600       -10.7090655       -11.0316605        -9.4614400       -12.0267800       -11.1800000       -12.0267800
