# NNLOsat
# PNM, N=66, PBC
    # Rho               Ehf           MBPT(2)           MBPT(3)               CCD            CCD(T)            ADC(3)          ADC(3)-D
      0.04         6.1365000         5.2916000         5.3333484         5.3225200         5.2627500         5.3125000         5.2627500
      0.05         6.7247000         5.7319000         5.8046562         5.8032700         5.7347800         5.7702000         5.7347800
      0.06         7.2705000         6.1170000         6.2281690         6.2343300         6.1561800         6.1850000         6.1561800
      0.07         7.8043000         6.4807000         6.6332000         6.6453800         6.5565000         6.5939000         6.5565000
      0.08         8.3456000         6.8476000         7.0403340         7.0576900         6.9570200         6.9960000         6.9570200
      0.09         8.9078000         7.2361000         7.4649020         7.4874500         7.3740900         7.4269000         7.3740900
      0.10         9.5000000         7.6606000         7.9193060         7.9472800         7.8205300         7.8817000         7.8205300
      0.11        10.1290000         8.1316000         8.4130340         8.4469400         8.3063400         8.3716000         8.3063400
      0.12        10.7980000         8.6566000         8.9533490         8.9937400         8.8390500         8.9173000         8.8390500
      0.13        11.5100000         9.2406000         9.5455750         9.5928500         9.4240300         9.5211000         9.4240300
      0.14        12.2670000         9.8865000        10.1932690        10.2476400        10.0648300        10.1670000        10.0648300
      0.15        13.0690000        10.5960000        10.8989470        10.9600000        10.7635100        10.8470000        10.7635100
      0.16        13.9150000        11.3680000        11.6623830        11.7305700        11.5208500        11.6100000        11.5208500
      0.17        14.8060000        12.2030000        12.4849480        12.5590000        12.3366100        12.4360000        12.3366100
      0.18        15.7400000        13.0980000        13.3644860        13.4441200        13.2097200        13.3270000        13.2097200
      0.19        16.7160000        14.0510000        14.2998010        14.3840900        14.1384100        14.2660000        14.1384100
      0.20        17.7310000        15.0590000        15.2886580        15.3765300        15.1203600        15.2430000        15.1203600
      0.21        18.7840000        16.1190000        16.3287480        16.4187000        16.1528700        16.2990000        16.1528700
      0.22        19.8720000        17.2270000        17.4166780        17.5075500        17.2329300        17.3770000        17.2329300
      0.23        20.9950000        18.3800000        18.5499720        18.6398900        18.3573700        18.5110000        18.3573700
      0.24        22.1490000        19.5730000        19.7240590        19.8124300        19.5229100        19.6810000        19.5229100
      0.25        23.3320000        20.8030000        20.9362520        21.0218600        20.7262600        20.8940000        20.7262600
      0.26        24.5420000        22.0660000        22.1827950        22.2649200        21.9641400        22.1390000        21.9641400
      0.27        25.7770000        23.3590000        23.4608310        23.5384200        23.2333600        23.4180000        23.2333600
      0.28        27.0340000        24.6790000        24.7674286        24.8392900        24.5308500        24.7200000        24.5308500
