# NNLOsat
# SNM, A=132, PBC
     # Rho               Ehf           MBPT(2)           MBPT(3)               CCD            CCD(T)            ADC(3)          ADC(3)-D
      0.04        -2.7980000        -7.0781000        -7.5543760        -6.9095800        -7.7823700        -7.3041000        -7.7823700
      0.05        -3.7202000        -8.6308000        -8.8964010        -8.1495300        -8.9735700        -8.6192000        -8.9735700
      0.06        -4.5627000       -10.0141526       -10.1068878        -9.2758000       -10.0695200        -9.8241000       -10.0695200
      0.07        -5.3134000       -11.2437061       -11.2172817       -10.3029500       -11.0860100       -10.9300000       -11.0860100
      0.08        -5.9647000       -12.3339291       -12.2434805       -11.2371400       -12.0306800       -11.9220000       -12.0306800
      0.09        -6.5116000       -13.2978072       -13.1927522       -12.0793000       -12.9043600       -12.8200000       -12.9043600
      0.10        -6.9508000       -14.1386163       -14.0596138       -12.8272900       -13.7034300       -13.6230000       -13.7034300
      0.11        -7.2801000       -14.8567671       -14.8349943       -13.4774000       -14.4218800       -14.3310000       -14.4218800
      0.12        -7.4983000       -15.4543813       -15.5119419       -14.0254200       -15.0529000       -14.9460000       -15.0529000
      0.13        -7.6046000       -15.9297075       -16.0805735       -14.4672500       -15.5897800       -15.4500000       -15.5897800
      0.14        -7.5989000       -16.2852716       -16.5363886       -14.7992700       -16.0265700       -15.8570000       -16.0265700
      0.15        -7.4814000       -16.5220166       -16.8744076       -15.0185900       -16.3583400       -16.1570000       -16.3583400
      0.16        -7.2526000       -16.6397680       -17.0895900       -15.1230100       -16.5812500       -16.3620000       -16.5812500
      0.17        -6.9135000       -16.6406753       -17.1801243       -15.1111000       -16.6925700       -16.4180000       -16.6925700
      0.18        -6.4650000       -16.5258186       -17.1439936       -14.9820900       -16.6906300       -16.3920000       -16.6906300
      0.19        -5.9085000       -16.2967557       -16.9802987       -14.7358500       -16.5746700       -16.2480000       -16.5746700
      0.20        -5.2454000       -15.9549180       -16.6886780       -14.3727900       -16.3448200       -15.9910000       -16.3448200
      0.21        -4.4773000       -15.5007107       -16.2681827       -13.8938500       -16.0019600       -15.6100000       -16.0019600
      0.22        -3.6060000       -14.9385215       -15.7222875       -13.3003700       -15.5476300       -15.1200000       -15.5476300
      0.23        -2.6333000       -14.2672395       -15.0492455       -12.5940900       -14.9839900       -14.5290000       -14.9839900
      0.24        -1.5613000       -13.4915747       -14.2534177       -11.7770900       -14.3137300       -13.8180000       -14.3137300
      0.25        -0.3919700       -12.6125456       -13.3356316       -10.8517400       -13.5400100       -13.0850000       -13.5400100
      0.26         0.8725200       -11.6335361       -12.2992611        -9.8206300       -12.6664100       -12.1380000       -12.6664100
      0.27         2.2299000       -10.5555353       -11.1453033        -8.6865800       -11.6969300       -11.1120000       -11.6969300
      0.28         3.6780000        -9.3834465        -9.8787825        -7.4526000       -10.6358900        -9.9718000       -10.6358900
