#    rho [fm-3]      T [MeV]         mu [MeV]        E/A [MeV]        S_1/A           F/A [MeV]     P [MeV fm-3]
  0.10000000E-01  0.00000000E+00  0.43668569E+01  0.25987421E+01  0.00000000E+00  0.25987421E+01  0.17681148E-01
  0.15000000E-01  0.00000000E+00  0.53870389E+01  0.35346218E+01  0.00000000E+00  0.35346218E+01  0.27786257E-01
  0.20000000E-01  0.00000000E+00  0.62516898E+01  0.41439137E+01  0.00000000E+00  0.41439137E+01  0.42155523E-01
  0.30000000E-01  0.00000000E+00  0.80928725E+01  0.49814102E+01  0.00000000E+00  0.49814102E+01  0.93343869E-01
  0.32000000E-01  0.00000000E+00  0.84155745E+01  0.55026567E+01  0.00000000E+00  0.55026567E+01  0.93213368E-01
  0.40000000E-01  0.00000000E+00  0.96185225E+01  0.60009747E+01  0.00000000E+00  0.60009747E+01  0.14470191E+00
  0.60000000E-01  0.00000000E+00  0.12373721E+02  0.73117973E+01  0.00000000E+00  0.73117973E+01  0.30371545E+00
  0.64000000E-01  0.00000000E+00  0.12915035E+02  0.81341882E+01  0.00000000E+00  0.81341882E+01  0.30597421E+00
  0.80000000E-01  0.00000000E+00  0.15446115E+02  0.92267598E+01  0.00000000E+00  0.92267598E+01  0.49754845E+00
  0.96000000E-01  0.00000000E+00  0.18222028E+02  0.10431012E+02  0.00000000E+00  0.10431012E+02  0.74793758E+00
  0.10000000E+00  0.00000000E+00  0.19097157E+02  0.10592070E+02  0.00000000E+00  0.10592070E+02  0.85050872E+00
  0.12000000E+00  0.00000000E+00  0.23361307E+02  0.11557871E+02  0.00000000E+00  0.11557871E+02  0.14164123E+01
  0.12800000E+00  0.00000000E+00  0.25287934E+02  0.12254644E+02  0.00000000E+00  0.12254644E+02  0.16682611E+01
  0.14000000E+00  0.00000000E+00  0.28002552E+02  0.13861600E+02  0.00000000E+00  0.13861600E+02  0.19797333E+01
  0.16000000E+00  0.00000000E+00  0.33316634E+02  0.16039735E+02  0.00000000E+00  0.16039735E+02  0.27643038E+01
  0.18000000E+00  0.00000000E+00  0.39373368E+02  0.17825303E+02  0.00000000E+00  0.17825303E+02  0.38786517E+01
  0.20000000E+00  0.00000000E+00  0.45614955E+02  0.20174044E+02  0.00000000E+00  0.20174044E+02  0.50881822E+01
  0.24000000E+00  0.00000000E+00  0.58459676E+02  0.25723600E+02  0.00000000E+00  0.25723600E+02  0.78566584E+01
  0.28000000E+00  0.00000000E+00  0.71623658E+02  0.31679628E+02  0.00000000E+00  0.31679628E+02  0.11184328E+02
  0.32000000E+00  0.00000000E+00  0.83217235E+02  0.37163514E+02  0.00000000E+00  0.37163514E+02  0.14737191E+02
  0.36000000E+00  0.00000000E+00  0.97520831E+02  0.42023488E+02  0.00000000E+00  0.42023488E+02  0.19979044E+02
