# DeltaNNLO450
# PNM, N=66, PBC
# Rho               Ehf           MBPT(2)               CCD            CCD(T)            ADC(3)
      0.04         6.1575000         5.1740000         5.3471400         5.2861500         5.3453000
      0.05         6.7780000         5.6579000         5.8879700         5.8222100         5.8920000
      0.06         7.3706000         6.1125000         6.3905000         6.3194400         6.4132000
      0.07         7.9659000         6.5689000         6.8862500         6.8084900         6.8872000
      0.08         8.5840000         7.0496000         7.3980500         7.3119400         7.3897000
      0.09         9.2384000         7.5708000         7.9431300         7.8472500         7.9275000
      0.10         9.9381000         8.1448000         8.5346000         8.4280000         8.5167000
      0.11        10.6890000         8.7803000         9.1821900         9.0644900         9.1592000
      0.12        11.4960000         9.4834000         9.8928400         9.7641800         9.8430000
      0.13        12.3610000        10.2580000        10.6710800        10.5320500        10.6130000
      0.14        13.2850000        11.1050000        11.5195100        11.3710000        11.4530000
      0.15        14.2680000        12.0260000        12.4391300        12.2822600        12.3720000
      0.16        15.3090000        13.0200000        13.4297200        13.2657000        13.3450000
      0.17        16.4080000        14.0850000        14.4900200        14.3200900        14.4190000
      0.18        17.5630000        15.2200000        15.6180600        15.4433900        15.5280000
      0.19        18.7720000        16.4210000        16.8112100        16.6329100        16.7220000
      0.20        20.0330000        17.6850000        18.0664500        17.8855100        17.9750000
      0.21        21.3420000        19.0090000        19.3803800        19.1976900        19.2930000
      0.22        22.6990000        20.3880000        20.7494400        20.5657400        20.6580000
      0.23        24.0990000        21.8190000        22.1698900        21.9858500        22.0860000
      0.24        25.5410000        23.2990000        23.6379800        23.4541300        23.5540000
      0.25        27.0210000        24.8220000        25.1499500        24.9667700        25.0830000
      0.26        28.5370000        26.3860000        26.7021200        26.5199700        26.6280000
      0.27        30.0860000        27.9860000        28.2908800        28.1100800        28.2210000
      0.28        31.6660000        29.6190000        29.9127700        29.7335800        29.8580000
