# DeltaNNLO500
# SNM, A=132, PBC 
# Rho               Ehf           MBPT(2)           MBPT(3)               CCD            CCD(T)            ADC(3)          ADC(3)-D
      0.04        -1.8965000        -6.3994000        -6.7628920        -6.2490800        -7.0949500        -6.5389000        -7.0949500
      0.05        -2.6204000        -7.9955000        -8.1196160        -7.4604000        -8.2952100        -7.8690000        -8.2952100
      0.06        -3.2698000        -9.4540000        -9.3494880        -8.5652900        -9.4079700        -9.0601000        -9.4079700
      0.07        -3.8309000       -10.7750000       -10.4817870        -9.5794700       -10.4546900       -10.1760000       -10.4546900
      0.08        -4.2948000       -11.9610000       -11.5327730       -10.5088400       -11.4444500       -11.1920000       -11.4444500
      0.09        -4.6552000       -13.0140000       -12.5075130       -11.3534000       -12.3779700       -12.1390000       -12.3779700
      0.10        -4.9075000       -13.9370000       -13.4050740       -12.1098800       -13.2509400       -12.9860000       -13.2509400
      0.11        -5.0487000       -14.7330000       -14.2206000       -12.7734700       -14.0564500       -13.7420000       -14.0564500
      0.12        -5.0761000       -15.4060000       -14.9483380       -13.3388800       -14.7864700       -14.3990000       -14.7864700
      0.13        -4.9883000       -15.9580000       -15.5801240       -13.8009200       -15.4329200       -14.9670000       -15.4329200
      0.14        -4.7840000       -16.3910000       -16.1082290       -14.1548300       -15.9881400       -15.4270000       -15.9881400
      0.15        -4.4623000       -16.7070000       -16.5257680       -14.3963900       -16.4452500       -15.7690000       -16.4452500
      0.16        -4.0229000       -16.9050000       -16.8239070       -14.5220400       -16.7982800       -16.0160000       -16.7982800
      0.17        -3.4656000       -16.9880000       -16.9988653       -14.5288100       -17.0422100       -16.1370000       -17.0422100
      0.18        -2.7904000       -16.9540000       -17.0428801       -14.4143600       -17.1729500       -16.1420000       -17.1729500
      0.19        -1.9976000       -16.8050000       -16.9530800       -14.1768900       -17.1873400       -16.0250000       -17.1873400
      0.20        -1.0876000       -16.5390000       -16.7234210       -13.8151300       -17.0830500       -15.8000000       -17.0830500
      0.21        -0.0610750       -16.1580000       -16.3525500       -13.3282600       -16.8585500       -15.4440000       -16.8585500
      0.22         1.0813000       -15.6610000       -15.8366960       -12.7159100       -16.5130300       -15.0310000       -16.5130300
      0.23         2.3387000       -15.0490000       -15.1746260       -11.9780700       -16.0463200       -14.5060000       -16.0463200
      0.24         3.7100000       -14.3210000       -14.3635118       -11.1150800       -15.4588500       -13.7980000       -15.4588500
      0.25         5.1943000       -13.4790000       -13.4038477       -10.1275900       -14.7516200       -13.1226430       -14.7516200
      0.26         6.7904000       -12.5230000       -12.2943960        -9.0165300       -13.9261100       -12.1374440       -13.9261100
      0.27         8.4970000       -11.4540000       -11.0351600        -7.7830800       -12.9842600       -11.0203480       -12.9842600
      0.28        10.3130000       -10.2730000        -9.6261860        -6.4286400       -11.3290040        -9.8308120       -11.3290040
