# DeltaNNLOgo394
# SNM, A=132, PBC
# Rho               Ehf           MBPT(2)           MBPT(3)               CCD            CCD(T)            ADC(3)          ADC(3)-D
      0.04        -3.6940000        -7.9735000        -8.5168980        -7.6175000        -8.6119200        -8.2092000        -8.6119200
      0.05        -4.8726000        -9.5051000        -9.8027370        -8.8867300        -9.7770400        -9.5145000        -9.7770400
      0.06        -5.9786000       -10.8240024       -10.9367414       -10.0371200       -10.8381600       -10.6920000       -10.8381600
      0.07        -6.9984000       -11.9722029       -11.9648810       -11.0874100       -11.8186700       -11.7530000       -11.8186700
      0.08        -7.9230000       -12.9739071       -12.9028413       -12.0454100       -12.7286300       -12.7150000       -12.7286300
      0.09        -8.7463000       -13.8464044       -13.7564381       -12.9121700       -13.5681700       -13.5870000       -13.5681700
      0.10        -9.4641000       -14.5968778       -14.5216460       -13.6849200       -14.3315000       -14.3730000       -14.3315000
      0.11       -10.0740000       -15.2283116       -15.1915289       -14.3590000       -15.0102200       -15.0520000       -15.0102200
      0.12       -10.5730000       -15.7422935       -15.7594149       -14.9292900       -15.5955700       -15.6310000       -15.5955700
      0.13       -10.9620000       -16.1399839       -16.2196960       -15.3910900       -16.0797500       -16.1010000       -16.0797500
      0.14       -11.2390000       -16.4212111       -16.5668461       -15.7407500       -16.4566500       -16.4920000       -16.4566500
      0.15       -11.4060000       -16.5869771       -16.7977461       -15.9757900       -16.7219000       -16.7490000       -16.7219000
      0.16       -11.4620000       -16.6385199       -16.9106269       -16.0948400       -16.8727900       -16.8640000       -16.8727900
      0.17       -11.4090000       -16.5770371       -16.9046541       -16.0975200       -16.9080000       -16.8810000       -16.9080000
      0.18       -11.2490000       -16.4037026       -16.7798086       -15.9843300       -16.8274400       -16.7780000       -16.8274400
      0.19       -10.9830000       -16.1207205       -16.5376995       -15.7565200       -16.6320900       -16.5620000       -16.6320900
      0.20       -10.6140000       -15.7302415       -16.1803315       -15.4160800       -16.3238700       -16.2270000       -16.3238700
      0.21       -10.1440000       -15.2354531       -15.7111871       -14.9656000       -15.9054800       -15.7800000       -15.9054800
      0.22        -9.5768000       -14.6364436       -15.1308566       -14.4082200       -15.3803300       -15.2290000       -15.3803300
      0.23        -8.9145000       -13.9392549       -14.4460149       -13.7475200       -14.7523600       -14.5620000       -14.7523600
      0.24        -8.1604000       -13.1460433       -13.6595743       -12.9874300       -14.0259400       -13.7770000       -14.0259400
      0.25        -7.3179000       -12.2598437       -12.7753717       -12.1321900       -13.2058000       -12.9650000       -13.2058000
      0.26        -6.3904000       -11.2857271       -11.7991941       -11.1862100       -12.2969100       -12.0020000       -12.2969100
      0.27        -5.3814000       -10.2277336       -10.7358296       -10.1540700       -11.3044400       -10.9500000       -11.3044400
      0.28        -4.2946000        -9.0905020        -9.5906120        -9.0404400       -10.2337000        -9.8245000       -10.2337000
