# H4_MM(GMSR) EOS. Reference paper: G.Grams, J.Margueron, R.Somasundaram, and S.Reddy, EPJA (2022) 58:56. https://doi.org/10.1140/epja/s10050-022-00706-w 
# Outer-Inner Crust Transition :
# nB_inner =   2.5282142292259004E-004 fm-3, rho =   7.1798191275380834      MeV/fm3, P =   5.4763060342489047E-004 MeV/fm3,  mu_cl_n =   2.6651916429173218E-004 MeV
# Crust-Core Transition:	
# nB_cc =   9.0609997736513612E-002 fm-3. rho =   18.131463559875652      MeV/fm3, P =  0.47616516763123967      MeV/fm3,  mu_cl_n_ =   9.0609997736513612E-002 MeV
#   nB(fm-3),        Acl,         Zcl,          ncl (fm-3),        Ye,        ng (fm-3),     V_WS (fm^3),  E/A-m_n (MeV),  P (MeV/fm^3),  mu_cl_n (MeV),     mu_cl_p (MeV)  
     0.1000E-06     0.6082E+02     0.2698E+02     0.1783E+00     0.4436E+00     0.0000E+00     0.6082E+09    -0.8493E+01     0.2280E-07    -0.8622E+01    -0.9528E+01
     0.1013E-06     0.6083E+02     0.2698E+02     0.1783E+00     0.4435E+00     0.0000E+00     0.6004E+09    -0.8490E+01     0.2321E-07    -0.8618E+01    -0.9533E+01
     0.1027E-06     0.6085E+02     0.2698E+02     0.1783E+00     0.4435E+00     0.0000E+00     0.5926E+09    -0.8488E+01     0.2363E-07    -0.8614E+01    -0.9538E+01
     0.1040E-06     0.6086E+02     0.2699E+02     0.1783E+00     0.4434E+00     0.0000E+00     0.5850E+09    -0.8485E+01     0.2405E-07    -0.8610E+01    -0.9543E+01
     0.1054E-06     0.6088E+02     0.2699E+02     0.1783E+00     0.4434E+00     0.0000E+00     0.5775E+09    -0.8482E+01     0.2448E-07    -0.8606E+01    -0.9549E+01
     0.1068E-06     0.6089E+02     0.2699E+02     0.1783E+00     0.4433E+00     0.0000E+00     0.5701E+09    -0.8479E+01     0.2492E-07    -0.8602E+01    -0.9554E+01
     0.1082E-06     0.6091E+02     0.2700E+02     0.1783E+00     0.4432E+00     0.0000E+00     0.5627E+09    -0.8476E+01     0.2537E-07    -0.8598E+01    -0.9559E+01
     0.1097E-06     0.6092E+02     0.2700E+02     0.1783E+00     0.4432E+00     0.0000E+00     0.5555E+09    -0.8473E+01     0.2583E-07    -0.8594E+01    -0.9565E+01
     0.1111E-06     0.6094E+02     0.2700E+02     0.1783E+00     0.4431E+00     0.0000E+00     0.5483E+09    -0.8470E+01     0.2629E-07    -0.8590E+01    -0.9570E+01
     0.1126E-06     0.6095E+02     0.2701E+02     0.1783E+00     0.4431E+00     0.0000E+00     0.5413E+09    -0.8467E+01     0.2676E-07    -0.8586E+01    -0.9575E+01
     0.1141E-06     0.6097E+02     0.2701E+02     0.1783E+00     0.4430E+00     0.0000E+00     0.5343E+09    -0.8464E+01     0.2724E-07    -0.8582E+01    -0.9581E+01
     0.1156E-06     0.6098E+02     0.2701E+02     0.1782E+00     0.4430E+00     0.0000E+00     0.5275E+09    -0.8461E+01     0.2773E-07    -0.8578E+01    -0.9586E+01
     0.1172E-06     0.6100E+02     0.2702E+02     0.1782E+00     0.4429E+00     0.0000E+00     0.5207E+09    -0.8458E+01     0.2823E-07    -0.8574E+01    -0.9592E+01
     0.1187E-06     0.6101E+02     0.2702E+02     0.1782E+00     0.4429E+00     0.0000E+00     0.5140E+09    -0.8455E+01     0.2874E-07    -0.8570E+01    -0.9597E+01
     0.1203E-06     0.6103E+02     0.2702E+02     0.1782E+00     0.4428E+00     0.0000E+00     0.5074E+09    -0.8452E+01     0.2925E-07    -0.8566E+01    -0.9603E+01
     0.1219E-06     0.6104E+02     0.2703E+02     0.1782E+00     0.4427E+00     0.0000E+00     0.5009E+09    -0.8449E+01     0.2978E-07    -0.8562E+01    -0.9608E+01
     0.1235E-06     0.6106E+02     0.2703E+02     0.1782E+00     0.4427E+00     0.0000E+00     0.4944E+09    -0.8446E+01     0.3031E-07    -0.8557E+01    -0.9614E+01
     0.1251E-06     0.6108E+02     0.2703E+02     0.1782E+00     0.4426E+00     0.0000E+00     0.4881E+09    -0.8443E+01     0.3085E-07    -0.8553E+01    -0.9620E+01
     0.1268E-06     0.6109E+02     0.2704E+02     0.1782E+00     0.4426E+00     0.0000E+00     0.4818E+09    -0.8440E+01     0.3141E-07    -0.8549E+01    -0.9625E+01
     0.1285E-06     0.6111E+02     0.2704E+02     0.1782E+00     0.4425E+00     0.0000E+00     0.4756E+09    -0.8437E+01     0.3197E-07    -0.8545E+01    -0.9631E+01
     0.1302E-06     0.6112E+02     0.2704E+02     0.1782E+00     0.4424E+00     0.0000E+00     0.4695E+09    -0.8434E+01     0.3254E-07    -0.8541E+01    -0.9637E+01
     0.1319E-06     0.6114E+02     0.2705E+02     0.1782E+00     0.4424E+00     0.0000E+00     0.4635E+09    -0.8431E+01     0.3312E-07    -0.8536E+01    -0.9642E+01
     0.1337E-06     0.6116E+02     0.2705E+02     0.1782E+00     0.4423E+00     0.0000E+00     0.4575E+09    -0.8428E+01     0.3372E-07    -0.8532E+01    -0.9648E+01
     0.1354E-06     0.6117E+02     0.2705E+02     0.1782E+00     0.4423E+00     0.0000E+00     0.4516E+09    -0.8425E+01     0.3432E-07    -0.8528E+01    -0.9654E+01
     0.1372E-06     0.6119E+02     0.2706E+02     0.1782E+00     0.4422E+00     0.0000E+00     0.4458E+09    -0.8422E+01     0.3494E-07    -0.8524E+01    -0.9660E+01
     0.1391E-06     0.6120E+02     0.2706E+02     0.1782E+00     0.4422E+00     0.0000E+00     0.4401E+09    -0.8419E+01     0.3556E-07    -0.8519E+01    -0.9665E+01
     0.1409E-06     0.6122E+02     0.2706E+02     0.1782E+00     0.4421E+00     0.0000E+00     0.4345E+09    -0.8415E+01     0.3620E-07    -0.8515E+01    -0.9671E+01
     0.1428E-06     0.6124E+02     0.2707E+02     0.1782E+00     0.4420E+00     0.0000E+00     0.4289E+09    -0.8412E+01     0.3684E-07    -0.8511E+01    -0.9677E+01
     0.1447E-06     0.6125E+02     0.2707E+02     0.1782E+00     0.4420E+00     0.0000E+00     0.4234E+09    -0.8409E+01     0.3750E-07    -0.8506E+01    -0.9683E+01
     0.1466E-06     0.6127E+02     0.2708E+02     0.1782E+00     0.4419E+00     0.0000E+00     0.4179E+09    -0.8406E+01     0.3817E-07    -0.8502E+01    -0.9689E+01
