# single-particle energies for L-hypernuclei using (pi^+,K^+) probe
# From Tab. IV presented in Ref. Gal, Hungerford, and Millener, Rev. Mod. Phys. 88, 1 (2016)
# Z, name, N, sp state, l, spe (MeV), err (MeV)
 5,  B,   4, 1s, 0,   -8.70, 0.30
 6,  C,   5, 1s, 0,  -11.36, 0.20
 6,  C,   5, 1p, 1,   -0.36, 0.20
 6,  C,   6, 1s, 0,  -12.00, 0.20
 6,  C,   6, 1p, 1,   -1.10, 0.20
 8,  O,   7, 1s, 0,  -13.00, 0.20
 8,  O,   7, 1p, 1,   -2.50, 0.20
14, Si,  13, 1s, 0,  -17.20, 0.20
14, Si,  13, 1p, 1,   -7.60, 0.20
14, Si,  13, 1d, 2,    1.00, 0.50
23,  V,  27, 1s, 0,  -21.50, 0.60
23,  V,  27, 1p, 1,  -13.40, 0.60
23,  V,  27, 1d, 2,   -5.10, 0.60
39,  Y,  49, 1s, 0,  -23.60, 0.50
39,  Y,  49, 1p, 1,  -17.70, 0.60
39,  Y,  49, 1d, 2,  -10.90, 0.60
39,  Y,  49, 1f, 3,   -3.70, 0.60
39,  Y,  49, 1g, 4,    3.80, 1.00
57, La,  81, 1s, 0,  -25.10, 1.20
57, La,  81, 1p, 1,  -21.00, 0.60
57, La,  81, 1d, 2,  -14.90, 0.60
57, La,  81, 1f, 3,   -8.60, 0.60
57, La,  81, 1g, 4,   -2.10, 0.60
82, Pb,  125, 1s, 0,  -26.90, 0.80
82, Pb,  125, 1p, 1,  -22.50, 0.60
82, Pb,  125, 1d, 2,  -17.40, 0.70
82, Pb,  125, 1f, 3,  -12.30, 0.60
82, Pb,  125, 1g, 4,   -7.20, 0.60
