# single L hypernuclei
# Ref:
# Z, name, N, sp state, l, spe (MeV)
 2, He,   2, 1s, 0,   -3.12
 6,  C,   6, 1s, 0,  -11.69
 8,  O,   7, 1s, 0,  -12.50
 8,  O,   7, 1d, 1,   -2.50
20, Ca,  19, 1s, 0,  -20.00
20, Ca,  19, 1p, 1,  -12.00
20, Ca,  19, 1d, 2,   -1.00
39,  Y,  49, 1s, 0,  -23.00
39,  Y,  49, 1p, 1,  -16.00
39,  Y,  49, 1d, 2,   -9.00
39,  Y,  49, 1f, 3,   -2.00
82, Pb, 125, 1s, 0,  -27.00
82, Pb, 125, 1p, 1,  -22.00
82, Pb, 125, 1d, 2,  -17.00
82, Pb, 125, 1f, 3,  -12.00
82, Pb, 125, 1g, 4,   -7.00



