# num, Rn, sig+Rn, sig-Rn, Rp, sig+Rp, sig-Rp, Rskin, sig+Rskin, sig-Rskin, latexCite
# all in fm
# Rskin = Rn - Rp
1, 3.78, 0.09, 0.09, 3.38, , , 0.39, 0.10, 0.10,              JCLombardi:1972    
2, 3.72, 0.12, 0.12, 3.39, , , 0.33, 0.12, 0.12,              IBrissaud:1972    
3, 3.66, , , 3.48, , , 0.16, 0.023, 0.023,                    Alkhazov:1976    
4, 3.67, 0.05, 0.05, 3.48, , , 0.19, 0.05, 0.05,              Alkhazov:1977    
5, , , , , , , 0.20, 0.09, 0.09,                              Jakobson:1977    
6, 3.54, , , 3.38, , , 0.16, 0.05, 0.05,                      Chaumeaux:1978   
7, , , , , , , 0.17, 0.10, 0.10,                              Friedman:1978    
8, 3.58, 0.1077, 0.1077, 3.41, , , 0.18, 0.1077, 0.1077,      Brissaud:1979    
9, 3.561, , , 3.376, , , 0.18, 0.08, 0.08,                    Igo:1979         
10, 3.43, 0.03, 0.03, 3.32, 0.03, 0.03, 0.11, 0.04, 0.04,     Boyer:1984       
11, , , , , , , 0.12, 0.04, 0.08,                             Hartmann:2001    
12, 3.436, 0.023, 0.023, , , , 0.079, 0.023, 0.023,           Clark:2003
13, , , , , , , 0.176, 0.018, 0.018,                          Piekarewicz:2012     
14, , , , , , , 0.17, 0.03, 0.03,                             Birkhan:2017     
15, , , , , , , 0.243, 0.023, 0.023,                          Mahzoon:2017     
16, , , , , , , 0.197, 0.048, 0.048,                          Tanaka:2020      
17, , , , , , , 0.158, 0.025, 0.025,                          Tagami:2022      
18, , , , , , , 0.121, 0.0354, 0.0354,                        Adhikari:2022    

